#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
47;;;"Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores quando o serviáo prestado for imune, exportaá∆o de serviáo ou n∆o incidància do ISSQN sobre o serviáo prestado, ou seja, o campo referente Ö tributaá∆o do ISSQN (tribISSQN) Ç igual a ""2 - Imunidade, ""3 - Exportaá∆o de Serviáo"" ou ""4 - N∆o Incidància"", (tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E1303;Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores quando o campo referente Ö tributaá∆o do ISSQN indicar imunidade, exportaá∆o ou n∆o incidància.;1;V;X;V;X;;;;
48;;;Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores quando o prestador de serviáo tiver um regime especial de tributaá∆o, ou seja, o campo que indica o regime especial de tributaá∆o Ç diferente de 0, (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9).;;Obrig.;Rej.;E1307;Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores quando o prestador de serviáo possui algum regime especial de tributaá∆o.;1;V;X;V;X;;;;
49;;;Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores quando estiver indicado na DPS que a tributaá∆o do ISSQN est† com sua exigibilidade suspensa, seja administrativamente ou judicialmente, ou seja, o campo que indica a suspens∆o da exigibilidade est† informado na DPS (tpSUSP = 1 ou 2).;;Obrig.;Rej.;E1311;Exceto para o campo vLiq, n∆o Ç permitido informar os demais campos do grupo valores quando a exigibilidade da tributaá∆o do ISSQN estiver suspensa por decis∆o judicial ou administrativa.;1;V;X;V;X;;;;
50;NFSe/infNFSe/valores/;vCalcDR;"vCalcDR Ç o valor monet†rio calculado a partir do percentual de deduá∆o/reduá∆o da BC do ISSQN, informado pelo emitente no campo pDR da DPS. Este percentual Ç calculado sobre valor do serviáo informado na DPS e o resultado calculado Ç o valor deste campo do leiaute NFS-e
ou
a soma dos valores de deduá∆o/reduá∆o da BC do ISSQN, quando um ou mais documentos s∆o informados nos campos vDeducaoReducao pelo emitente na DPS. Neste caso, o resultado do somat¢rio Ç o valor deste campo do leiaute NFS-e.";;Obrig.;Rej.;E1287;O valor calculado de deduá∆o/reduá∆o n∆o corresponde aos valores de (valor do serviáo x percentual de deduá∆o/reduá∆o), quando pDR Ç informado na DPS ou ao somat¢rio dos valores do campo vDeducaoReducao, quando um ou mais documentos s∆o informados para deduá∆o/reduá∆o da base de c†lculo do ISSQN.;1;V;X;V;X;-;;;
51;NFSe/infNFSe/valores/;tpBM;-;;-;-;-;-;-;-;-;-;-;-;;;
52;NFSe/infNFSe/valores/;vCalcBM;vCalcBM Ç o valor mmonet†rio calculado a partir do percentual  de BM, que foi informada no campo pRedBCBM da DPS. Neste caso o percentual Ç aplicado sobre o valor do serviáo informado na DPS e o resultado calculado Ç o valor deste campo do leiaute NFS-e.;;Obrig.;Rej.;E1288;O valor calculado do percentual de reduá∆‰ da base de c†lculo por Benef°cio Municipal n∆o corresponde aos valores de (valor do serviáo x percentual de benef°cio municipal), quando pRedBCBM Ç informado na DPS.;1;V;X;V;X;-;;;
53;NFSe/infNFSe/valores/;vBC;"O valor da base de c†lculo do ISSQN (vBC) Ç calculado a partir de valores informados na NFS-e:

Valor da BC = Valor do serviáo - Desconto incondicionado - Valores monet†rio de Deduá∆o Reduá∆o - Valor monet†rio de Benerf°cio Municipal - Valor monet†rio total relativo ao fornecimento pr¢prio de bens materiais ou relacionados a operaá‰es de terceiros, objeto de reembolso, repasse ou ressarcimento pelo recebedor

vBC = vServ - vDescIncond - (vDR ou vDeducaoReducao ou vCalcDR) - (vRedBCBM ou vCalcBM) - vCalcReeRepRes";;Obrig.;Rej.;E1295;O valor da base c†lculo deve ser igual ao valor do serviáo menos desconto incondicionado e, valores monet†rios de deduá∆o/reduá∆o e benef°cio municipal e valores relativos ao fornecimento pr¢prio de bens materiais ou relacionados a operaá‰es de terceiros, objeto de reembolso, repasse ou ressarcimento pelo recebedor, informados na NFS-e.;1;V;X;V;X;-;;;
54;NFSe/infNFSe/valores/;;"O valor BC calculado n∆o pode estar reduzida de forma que resulte para valor do ISSQN a uma al°quota efetiva menor que 2%, exceto para os c¢digos relativos aos serviáos:
042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301.";;Obrig.;Rej.;E1297;O valor BC calculado n∆o pode estar reduzida de forma que resulte para valor do ISSQN a uma al°quota efetiva menor que 2%, exceto para os c¢digos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviáos nacional do Sistema Nacional NFS-e.;2;V;X;V;X;O valor do desconto incondicionado, se informado na DPS, n∆o Ç considerado para a reduá∆o do valor da BC de forma que resulte para valor do ISSQN a uma al°quota efetiva menor que 2%.;;;
55;NFSe/infNFSe/valores/;pAliqAplic;N∆o Ç permitido informar al°quota aplicada superior a 5%.;;Obrig.;Rej.;E1300;N∆o Ç permitido informar al°quota aplicada superior a 5%.;1;V;X;V;X;-;;;
56;NFSe/infNFSe/valores/;vISSQN;O valor do ISSQN informado na NFS-e (vISSQN) deve ser igual ao produto da base de c†lculo pela al°quota aplicada (vBC x pAliqAPlic).;;Obrig.;Rej.;E1289;O produto do valor da base de c†lculo pela al°quota aplicada, ambos informados na NFS-e compartilhada, n∆o est† de acordo com o resultado c†lculado pelo sistema (vBC x pAliAplic).;1;V;X;V;X;-;;;
