#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
67;NFSe/infNFSe/IBSCBS/valores/;vBC;"O valor da base de c†lculo do IBS/CBS (vBC) Ç calculado a partir de valores informados na NFS-e:

(de 01/01/2026 atÇ 31/12/2026)
vBC = vServ - descIncond ? vCalcReeRepRes ? vISSQN ? vPIS - vCOFINS
ou
(de 01/01/2027 atÇ 31/12/2032)
vBC = vServ - descIncond ? vCalcReeRepRes ? vISSQN";;Obrig.;Rej.;E1530;Valor da Base de c†lculo para IBS/CBS incorreto.;1;V;V;V;V;-;;;
68;NFSe/infNFSe/IBSCBS/valores/;vCalcReeRepRes;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) n∆o deve ser informado se o grupo de documentos referenciados que ir∆o compor o valor n∆o foi informado na DPS.;;Obrig.;Rej.;E1531;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) n∆o deve ser informado.;1;V;V;V;V;-;;;
69;;;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser informado se o grupo de documentos referenciados que ir∆o compor o valor foi informado na DPS.;;Obrig.;Rej.;E1533;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser informado.;1;V;V;V;V;-;;;
70;;;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser menor que o valor do serviáo informado na DPS.;;Obrig.;Rej.;E1534;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser menor que o valor do serviáo prestado.;1;V;V;V;V;-;;;
71;;;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser igual Ö soma dos valores de documentos referenciados informados na DPS.;;Obrig.;Rej.;E1535;O valor objeto de reembolso, repasse ou ressarcimento j† tributados que n∆o integram da base de c†lculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) incorreto.;1;V;V;V;V;-;;;
72;NFSe/infNFSe/IBSCBS/valores/;uf;-;;-;-;-;-;-;-;-;-;-;-;;;
73;NFSe/infNFSe/IBSCBS/valores/uf/;pIBSUF;A al°quota da UF para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/pIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1539;Al°quota da UF para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
74;NFSe/infNFSe/IBSCBS/valores/uf/;pRedAliqUF;O percentual redutor de al°quota para o IBS estadual n∆o deve ser informado se o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS n∆o possuir essa indicaá∆o.;;Obrig.;Rej.;E1540;O percentual redutor de al°quota para o IBS estadual n∆o deve ser informado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
75;;;O percentual redutor de al°quota para o IBS estadual deve ser informado se o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS possuir essa indicaá∆o.;;Obrig.;Rej.;E1541;O percentual redutor de al°quota para o IBS estadual deve ser informado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
76;;;O percentual redutor de al°quota para o IBS estadual informado deve ser o mesmo indicado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;;Obrig.;Rej.;E1543;O percentual redutor de al°quota para o IBS estadual informado difere do indicado para o o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
77;;;O percentual redutor de al°quota para o IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/gRed/pRedAliq retornado pela Calculadora;;Obrig.;Rej.;E1557;Percentual redutor de al°quota para o IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
78;NFSe/infNFSe/IBSCBS/valores/uf/;pAliqEfetUF;A al°quota efetiva da UF para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/gRed/pAliqEfet retornado pela Calculadora;;Obrig.;Rej.;E1577;Al°quota efetiva da UF para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
79;NFSe/infNFSe/IBSCBS/valores/;mun;-;;-;-;-;-;-;-;-;-;-;-;;;
80;NFSe/infNFSe/IBSCBS/valores/mun/;pIBSMun;A al°quota do Munic°pio para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/pIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1578;Al°quota do Munic°pio para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
81;NFSe/infNFSe/IBSCBS/valores/mun/;pRedAliqMun;O percentual redutor de al°quota para o IBS municipal n∆o deve ser informado se o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS n∆o possuir essa indicaá∆o.;;Obrig.;Rej.;E1545;O percentual redutor de al°quota para o IBS municipal n∆o deve ser informado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
82;;;O percentual redutor de al°quota para o IBS municipal deve ser informado se o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS possuir essa indicaá∆o.;;Obrig.;Rej.;E1546;O percentual redutor de al°quota para o IBS municipal deve ser informado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
83;;;O percentual redutor de al°quota para o IBS municipal informado deve ser o mesmo indicado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;;Obrig.;Rej.;E1547;O percentual redutor de al°quota para o IBS municipal informado difere do indicado para o o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
84;;;O percentual de reduá∆o de al°quota municipal deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/gRed/pRedAliq retornado pela Calculadora;;Obrig.;Rej.;E1548;Percentual de reduá∆o de al°quota municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
85;NFSe/infNFSe/IBSCBS/valores/mun/;pAliqEfetMun;A al°quota efetiva do Munic°pio para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/gRed/pAliqEfet retornado pela Calculadora;;Obrig.;Rej.;E1549;Al°quota efetiva do Munic°pio para IBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
86;NFSe/infNFSe/IBSCBS/valores/;fed;-;;-;-;-;-;-;-;-;-;-;-;;;
87;NFSe/infNFSe/IBSCBS/valores/fed/;pCBS;A al°quota da Uni∆o para CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/pCBS retornado pela Calculadora;;Obrig.;Rej.;E1558;Al°quota da Uni∆o para CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
88;NFSe/infNFSe/IBSCBS/valores/fed/;pRedAliqCBS;O percentual redutor de al°quota para a CBS n∆o deve ser informado se o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS n∆o possuir essa indicaá∆o.;;Obrig.;Rej.;E1550;O percentual redutor de al°quota para a CBS n∆o deve ser informado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
89;;;O percentual redutor de al°quota para a CBS deve ser informado se o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS possuir essa indicaá∆o.;;Obrig.;Rej.;E1551;O percentual redutor de al°quota para a CBS deve ser informado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
90;;;O percentual redutor de al°quota para a CBS informado deve ser o mesmo indicado para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;;Obrig.;Rej.;E1552;O percentual redutor de al°quota para a CBS informado difere do indicado para o o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS informado na DPS.;1;V;V;V;V;-;;;
91;;;O percentual redutor de al°quota para a CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/gRed/pRedAliq retornado pela Calculadora;;Obrig.;Rej.;E1553;Percentual redutor de al°quota para a CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
92;NFSe/infNFSe/IBSCBS/valores/fed/;pAliqEfetCBS;A al°quota efetiva da Uni∆o para CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/gRed/pAliqEfet retornado pela Calculadora;;Obrig.;Rej.;E1554;Al°quota efetiva da Uni∆o para CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
93;NFSe/infNFSe/IBSCBS/;totCIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
94;NFSe/infNFSe/IBSCBS/totCIBS/;vTotNF;"O valor total da NFS-e considerando os impostos por fora (IBS e CBS) Ç calculado a partir dos valores informados na NFS-e:
vTotNF = vLiq (em 2026)
vTotNF = vLiq + vCBS + vIBSTot (a partir de 2027)";;Obrig.;Rej.;E1555;Valor total da NFS-e est† incorreto.;1;V;V;V;V;-;;;
95;NFSe/infNFSe/IBSCBS/totCIBS/;gIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
96;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;vIBSTot; O valor total do IBS deve ser igual ao valor total/IBSCBSTot/vIBS retornado pela Calculadora;;Obrig.;Rej.;E1556;Valor total do IBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
97;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;gIBSCredPres;O grupo de crÇdito presumido para IBS n∆o deve ser informado se o c¢digo do crÇdito presumido - cCredPres n∆o foi informado na DPS.;;Obrig.;Rej.;E1560;Grupo crÇdito presumido para IBS n∆o deve ser informado.;1;V;V;V;V;-;;;
98;;;O grupo de crÇdito presumido para IBS deve ser informado se o c¢digo do crÇdito presumido - cCredPres foi informado na DPS.;;Obrig.;Rej.;E1561;Grupo crÇdito presumido para IBS deve ser informado.;1;V;V;V;V;-;;;
99;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSCredPres/;pCredPresIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
100;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSCredPres/;vCredPresIBS;-;;-;-;-;-;-;-;-;-;-;-;;;
101;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;gIBSUFTot;-;;-;-;-;-;-;-;-;-;-;-;;;
102;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSUFTot/;vDifUF;O valor do diferimento para o IBS estadual n∆o deve ser informado se n∆o foi informada, na DPS, a al°quota para o diferimento do IBS estadual - pDifUF.;;Obrig.;Rej.;E1565;Valor do diferimento para o IBS estadual n∆o deve ser informado.;1;V;V;V;V;-;;;
103;;;O valor do diferimento para o IBS estadual deve ser informado se foi informada, na DPS, a al°quota para o diferimento do IBS estadual - pDifUF.;;Obrig.;Rej.;E1566;Valor do diferimento para o IBS estadual deve ser informado.;1;V;V;V;V;-;;;
104;;; O valor do diferimento para o IBS estadual deve ser igual ao valor total/IBSCBSTot/gIBSUF/vDif retornado pela Calculadora;;Obrig.;Rej.;E1567;Valor do diferimento para o IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
105;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSUFTot/;vIBSUF; O valor total do IBS estadual deve ser igual ao valor total/IBSCBSTot/gIBSUF/vIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1568;Valor total do IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
106;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/;gIBSMunTot;-;;-;-;-;-;-;-;-;-;-;-;;;
107;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSMunTot/;vDifMun;O valor do diferimento para o IBS municipal n∆o deve ser informado se n∆o foi informada, na DPS, a al°quota para o diferimento do IBS municipal - pDifMun.;;Obrig.;Rej.;E1569;Valor do diferimento para o IBS municipal n∆o deve ser informado.;1;V;V;V;V;-;;;
108;;;O valor do diferimento para o IBS municipal deve ser informado se foi informada, na DPS, a al°quota para o diferimento do IBS municipal - pDifMun.;;Obrig.;Rej.;E1570;Valor do diferimento para o IBS municipal deve ser informado.;1;V;V;V;V;-;;;
109;;; O valor do diferimento para o IBS municipal deve ser igual ao valor total/IBSCBSTot/gIBSMun/vDif retornado pela Calculadora;;Obrig.;Rej.;E1571;Valor do diferimento para o IBS municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
110;NFSe/infNFSe/IBSCBS/totCIBS/gIBS/gIBSMunTot/;vIBSMun; O valor total do IBS municipal deve ser igual ao valor total/IBSCBSTot/gIBSMun/vIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1572;Valor total do IBS municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
111;NFSe/infNFSe/IBSCBS/totCIBS/;gCBS;-;;-;-;-;-;-;-;-;-;-;-;;;
112;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/;gCBSCredPres;O grupo de crÇdito presumido para CBS n∆o deve ser informado se o c¢digo do crÇdito presumido - cCredPres n∆o foi informado na DPS.;;Obrig.;Rej.;E1575;Grupo crÇdito presumido para CBS n∆o deve ser informado.;1;V;V;V;V;-;;;
113;;;O grupo de crÇdito presumido para CBS deve ser informado se o c¢digo do crÇdito presumido - cCredPres tambÇm foi informado na DPS.;;Obrig.;Rej.;E1576;Grupo crÇdito presumido para CBS deve ser informado.;1;V;V;V;V;-;;;
114;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/gCBSCredPres/;pCredPresCBS;-;;-;-;-;-;-;-;-;-;-;-;;;
115;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/gCBSCredPres/;vCredPresCBS;-;;-;-;-;-;-;-;-;-;-;-;;;
116;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/;vDifCBS;O valor do diferimento para a CBS n∆o deve ser informado se foi n∆o informada, na DPS, a al°quota para o diferimento da CBS - pDifCBS.;;Obrig.;Rej.;E1570;Valor do diferimento para a CBS n∆o deve ser informado.;1;V;V;V;V;-;;;
117;;;O valor do diferimento para a CBS deve ser informado se foi informada, na DPS, a al°quota para o diferimento da CBS - pDifCBS.;;Obrig.;Rej.;E1580;Valor do diferimento para a CBS deve ser informado.;1;V;V;V;V;-;;;
118;;; O valor do diferimento para a CBS deve ser igual ao valor total/IBSCBSTot/gCBS/vDif retornado pela Calculadora;;Obrig.;Rej.;E1581;Valor do diferimento para a CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
119;NFSe/infNFSe/IBSCBS/totCIBS/gCBS/;vCBS; O valor total da CBS da Uni∆o deve ser igual ao valor total/IBSCBSTot/gCBS/vCBS retornado pela Calculadora;;Obrig.;Rej.;E1582;Valor total da CBS da Uni∆o incorreto.;1;V;V;V;V;CALCULADORA;;;
120;NFSe/infNFSe/IBSCBS/totCIBS/;gTribRegular; O grupo de tributaá∆o regular n∆o deve ser informado se o indicador para tributaá∆o regular (exigeGrupoTributacaoRegular) para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS for igual a false;;Obrig.;Rej.;E1583;Grupo de tributaá∆o regular n∆o deve ser informado para o cClassTribIBSCBS indicado.;1;V;V;V;V;CALCULADORA;;;
121;;; O grupo de tributaá∆o regular deve ser informado se o indicador para tributaá∆o regular (exigeGrupoTributacaoRegular) para o c¢digo da classificaá∆o tribut†ria - cClassTribIBSCBS for igual a true;;Obrig.;Rej.;E1584;Grupo de tributaá∆o regular deve ser informado para o cClassTribIBSCBS indicado.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
122;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;pAliqEfeRegIBSUF; A al°quota efetiva de tributaá∆o regular do IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1585;Al°quota efetiva de tributaá∆o regular do IBS estadual incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
123;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;vTribRegIBSUF; O valor da tributaá∆o regular do IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1586;Valor da tributaá∆o regular do IBS estadual incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
124;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;pAliqEfeRegIBSMun; A al°quota efetiva de tributaá∆o regular do IBS municipal deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1587;Al°quota efetiva de tributaá∆o regular do IBS municipal incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
125;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;vTribRegIBSMun; O valor da tributaá∆o regular do IBS municipal deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1588;Valor da tributaá∆o regular do IBS municipal incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
126;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;pAliqEfeRegCBS; A al°quota efetiva de tributaá∆o regular da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegCBS retornado pela Calculadora;;Obrig.;Rej.;E1589;Al°quota efetiva de tributaá∆o regular da CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
127;NFSe/infNFSe/IBSCBS/totCIBS/gTribRegular/;vTribRegCBS; O valor da tributaá∆o regular da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegCBS retornado pela Calculadora;;Obrig.;Rej.;E1590;Valor da tributaá∆o regular da CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
128;NFSe/infNFSe/IBSCBS/totCIBS/;gTribCompraGov;O grupo de tributaá∆o para compras governamentais n∆o deve ser informado para essas operaá‰es (tpEnteGov n∆o foi informado informado na DPS).;;Obrig.;Rej.;E1600;Grupo de compras governamentais n∆o deve ser informando quando o tpEnteGov n∆o foi informado na DPS.;1;V;V;V;V;-;;;
129;;;O grupo de tributaá∆o para compras governamentais deve ser informado para essas operaá‰es (tpEnteGov foi informado informado na DPS).;;Obrig.;Rej.;E1601;Grupo de compras governamentais deve ser informando quando o tpEnteGov n∆o foi informado na DPS.;1;V;V;V;V;-;;;
130;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;pIBSUF; A al°quota do IBS de competància do Estado deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1602;Al°quota do IBS de competància do Estado incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
131;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;vIBSUF; O valor do Tributo do IBS da UF deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribIBSUF retornado pela Calculadora;;Obrig.;Rej.;E1603;Valor do Tributo do IBS da UF incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
132;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;pIBSMun;" A al°quota do IBS de competància do
Munic°pio deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqIBSMun retornado pela Calculadora";;Obrig.;Rej.;E1604;"Al°quota do IBS de competància do
Munic°pio incorreta.";1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
133;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;vIBSMun; O valor do Tributo do IBS do Munic°pio deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribIBSMun retornado pela Calculadora;;Obrig.;Rej.;E1605;Valor do Tributo do IBS do Munic°pio incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
134;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;pCBS; A al°quota da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqCBS retornado pela Calculadora;;Obrig.;Rej.;E1606;Al°quota da CBS incorreta.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
135;NFSe/infNFSe/IBSCBS/totCIBS/gTribCompraGov;vCBS; O valor do Tributo da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribCBS retornado pela Calculadora;;Obrig.;Rej.;E1607;Valor do Tributo da CBS incorreto.;1;V;V;V;V;"CALCULADORA
Margem de erro de R$ 0,01";;;
136;NFSe/infNFSe/;DPS;-;;-;-;-;-;-;-;-;-;-;-;;;
137;NFSe/infNFSe/DPS/;versao;Prazo de aceitaá∆o da vers∆o do leiaute DPS ultrapassado.;;Obrig.;Rej.;E0001;O prazo de aceitaá∆o da vers∆o do leiaute da DPS expirou.;1;V;V;V;V;-;;;
138;NFSe/infNFSe/DPS/;infDPS;-;;-;-;-;-;-;-;-;-;-;-;;;
139;NFSe/infNFSe/DPS/infDPS/;id;"O identificador da DPS Ç formado conforme a concatenaá∆o dos seguintes campos:
""DPS"" + C¢d.Mun.Emi. + Tipo de Inscriá∆o Federal + Inscriá∆o Federal + SÇrie DPS + N£m. DPS

Campo identificador da DPS inv†lido.
Identificador da DPS difere da concatenaá∆o dos campos correspondentes.
""DPS"" + C¢d.Mun.Emi. + Tipo de Inscriá∆o Federal + Inscriá∆o Federal + SÇrie DPS + N£m. DPS 

Verificar se tipo de inscriá∆o e inscriá∆o, informados no identificador da DPS, est∆o corretamente correspondidos conforme o seguinte:

Tipo de inscriá∆o Federal = 1 / Inscriá∆o Federal = CPF emitente da DPS;
Tipo de inscriá∆o Federal = 2 / Inscriá∆o Federal = CNPJ emitente da DPS;

C¢d.Mun.Emi. Ç o c¢digo do munic°pio do endereáo do emitente da DPS.";;Obrig.;Rej.;E0004;Conte£do do identificador informado na DPS difere da concatenaá∆o dos campos correspondentes.;1;V;V;V;V;-;;;
140;NFSe/infNFSe/DPS/infDPS/;tpAmb;Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.;;Obrig.;Rej.;E0006;Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.;1;V;V;V;V;-;;;
141;NFSe/infNFSe/DPS/infDPS/;dhEmi;A data de emiss∆o da DPS deve ser anterior ou igual Ö data e hora do seu processamento (dhProc) pelo Sistema Nacional NFS-e.;;Obrig.;Rej.;E0008;A data e hora de emiss∆o da DPS deve ser anterior ou igual Ö data do seu processamento (dhProc) pelo Sistema Nacional NFS-e.;1;V;V;V;V;-;;;
142;;;A data de compartilhamento do DF-e n∆o pode ser posterior Ö h† mais de 6 anos de sua emiss∆o.;;Obrig.;Rej.;E1294;Prazo para entrega da DF-e excedido.;1;X;X;V;X;-;;;
143;NFSe/infNFSe/DPS/infDPS/;verAplic;-;;-;-;-;-;-;-;-;-;-;-;;;
144;NFSe/infNFSe/DPS/infDPS/;serie;A sÇrie informada na DPS n∆o pertence Ö faixa definida para o tipo de emissor utilizado para a sua emiss∆o.;;Obrig.;Rej.;E0010;A sÇrie informada na DPS n∆o pertence Ö faixa definida para o tipo de emissor utilizado para a sua emiss∆o.;1;V;V;X;X;"Faixas de utilizaá∆o da sÇrie da DPS:

00001 a 49999 - Emiss∆o com aplicativo p?oprio;
50000 a 69999 - Emissor M¢vel;
70000 a 79999 - Emissor Web;
80000 a 89999 - Emiss∆o com *transcriss∆o manual (Web);

*O emitente deve informar o n£mero de sÇrie (transcrever o n£mero de sÇrie) que foi repassado ao n∆o emitente da NFS-e.";;;
145;;;Conjunto de SÇrie, N£mero, C¢digo do Munic°pio Emissor e CNPJ/CPF informado nesta DPS j† existe em uma NFS-e gerada a partir de uma DPS enviada anteriormente.;;Obrig.;Rej.;E0014;Conjunto de SÇrie, N£mero, C¢digo do Munic°pio Emissor e CNPJ/CPF informado nesta DPS j† existe em uma NFS-e gerada a partir de uma DPS enviada anteriormente.;1;V;V;V;V;-;;;
146;NFSe/infNFSe/DPS/infDPS/;nDPS;;;;;;;;;;;;;;;
147;NFSe/infNFSe/DPS/infDPS/;dCompet;A data de competància informada na DPS deve ser anterior ou igual Ö data de emiss∆o (dhEmi) da DPS.;;Obrig.;Rej.;E0015;A data de competància informada na DPS n∆o pode ser posterior Ö data de emiss∆o (dhEmi) da DPS.;1;V;V;V;V;-;;;
